Country,annual_income,corruption_index,cost_index,monthly_income,purchasing_power_index,gdp_per_capita,tourists_in_millions,receipts_in_billions,receipts_per_tourist,percentage_of_gdp,unemployment_rate
Afghanistan,500.0,84.0,,,,,,,,,
Albania,,,52.0,509.0,16.7,,2.7,1.24,468.0,6.8,
Algeria,3660.0,67.0,29.9,305.0,17.4,,,,,,
American Samoa,,,,,,,,,,,29.8
Angola,1770.0,71.0,23.0,148.0,10.9,,,,,,
Argentina,10050.0,62.0,,,,,,,,,
Armenia,,,33.8,380.0,19.2,,,,,,
Australia,56760.0,27.0,118.0,4730.0,68.3,55807.0,1.8,26.23,14351.0,1.7,5.1
Austria,52210.0,26.0,95.9,4351.0,77.3,58427.0,15.1,15.36,1018.0,3.2,
Azerbaijan,4880.0,70.0,29.8,407.0,23.3,,,,,,
Bahamas,,,,,,34108.0,,,,,
Bahrain,,,49.0,1661.0,57.7,45411.0,,,,,1.9
Bangladesh,2620.0,74.0,39.0,218.0,9.5,,,,,,5.2
Barbados,,,121.5,1393.0,19.5,,,,,,
Belarus,,,,,,,3.6,0.54,151.0,0.8,
Belgium,50510.0,27.0,97.0,4209.0,74.0,58931.0,2.6,7.45,2882.0,1.2,
Benin,,,37.5,114.0,5.2,,,,,,1.6
Bermuda,,,157.6,9712.0,105.0,85192.0,0.1,0.09,1829.0,1.3,7.0
Bhutan,,,30.0,237.0,13.4,,,,,,
Bolivia,3360.0,70.0,36.2,280.0,13.2,,,,,,
Brazil,7720.0,62.0,46.9,643.0,23.4,,,,,,14.4
Brunei,,,48.9,2626.0,91.4,66620.0,,,,,
Bulgaria,,,47.5,893.0,32.0,,5.0,1.79,360.0,2.2,
Burma,1140.0,72.0,27.0,95.0,6.0,,,,,,
Burundi,240.0,81.0,,,,,,,,,1.8
Cambodia,1550.0,77.0,36.6,129.0,6.0,,1.3,1.12,857.0,4.2,0.6
Cameroon,1590.0,73.0,41.9,133.0,5.4,,,,,,
Canada,48310.0,26.0,105.6,4026.0,64.9,52085.0,,,,,7.5
Cape Verde,3330.0,79.0,,,,,,,,,
Cayman Islands,,,137.9,5281.0,65.2,,,,,,
Central Africa,530.0,76.0,,,,,,,,,
Chad,650.0,80.0,,,,,,,,,1.9
Chile,,,62.9,1250.0,33.8,,,,,,
China,11890.0,55.0,63.2,991.0,26.7,,,,,,4.8
Cocos (Keeling) Islands,,,,,,,,,,,0.1
Colombia,,,41.9,513.0,20.9,,,,,,
Comoros,1460.0,80.0,,,,,,,,,
